"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"12.05.2023","Fri","5.06143","","5.10543","","5.31829","5.34314","5.25600"
"11.05.2023","Thu","5.06171","","5.10743","","5.32071","5.34871","5.26586"
"10.05.2023","Wed","5.06029","","5.10800","","5.34243","5.39843","5.35286"
"09.05.2023","Tue","5.06143","","5.10571","","5.33914","5.38986","5.29800"
"05.05.2023","Fri","5.05986","","5.10443","","5.33686","5.35286","5.19971"
"04.05.2023","Thu","5.05871","","5.09871","","5.32371","5.39100","5.26014"
"03.05.2023","Wed","4.81086","","5.08157","","5.32629","5.39443","5.29957"
"02.05.2023","Tue","4.81486","","5.09386","","5.33629","5.43286","5.43529"
"28.04.2023","Fri","4.81100","","5.06214","","5.30243","5.40700","5.36629"
"27.04.2023","Thu","4.81014","","5.03414","","5.29914","5.38686","5.32143"
"26.04.2023","Wed","4.79571","","5.02457","","5.27271","5.37186","5.28857"
"25.04.2023","Tue","4.80071","","5.01771","","5.29157","5.40586","5.37300"
"24.04.2023","Mon","4.80771","","5.01614","","5.26814","5.43400","5.42771"
"21.04.2023","Fri","4.80671","","5.02043","","5.25514","5.43457","5.40900"
"20.04.2023","Thu","4.80671","","5.01000","","5.27271","5.47329","5.46057"
"19.04.2023","Wed","4.80671","","4.98229","","5.26143","5.45057","5.48171"
"18.04.2023","Tue","4.80871","","4.95271","","5.25043","5.41129","5.42557"
"17.04.2023","Mon","4.80871","","4.95129","","5.26500","5.39486","5.42000"
"14.04.2023","Fri","4.81471","","4.95943","","5.26171","5.30529","5.27214"
"13.04.2023","Thu","4.81214","","4.94771","","5.26029","5.30614","5.28571"
"12.04.2023","Wed","4.81486","","4.94571","","5.25129","5.34200","5.36643"
"11.04.2023","Tue","4.81629","","4.93729","","5.24157","5.35157","5.32314"
"06.04.2023","Thu","4.80971","","4.90029","","5.19786","5.23743","5.12571"
"05.04.2023","Wed","4.80929","","4.89014","","5.21100","5.29214","5.19957"
"04.04.2023","Tue","4.81171","","4.87114","","5.21886","5.33671","5.29614"
"03.04.2023","Mon","4.80629","","4.85771","","5.22257","5.31986","5.33114"
"31.03.2023","Fri","4.80086","","4.85771","","5.19271","5.31300","5.30529"
"30.03.2023","Thu","4.81143","","4.84757","","5.17657","5.27229","5.23157"
"29.03.2023","Wed","4.81157","","4.84029","","5.15914","5.20957","5.16043"
"28.03.2023","Tue","4.81100","","4.85871","","5.16286","5.24671","5.18771"
"27.03.2023","Mon","4.80871","","4.85229","","5.14314","5.16114","5.06114"
"24.03.2023","Fri","4.80886","","4.83057","","5.10143","4.98729","4.80886"
"23.03.2023","Thu","4.80714","","4.84529","","5.13371","5.14271","5.10686"
"22.03.2023","Wed","4.55857","","4.79700","","5.08000","5.11514","5.17929"
"21.03.2023","Tue","4.56057","","4.77929","","5.01771","5.00657","4.99671"
"20.03.2023","Mon","4.55557","","4.75229","","4.94714","4.84871","4.70343"
"17.03.2023","Fri","4.56086","","4.77771","","4.99843","5.05229","5.03414"
"16.03.2023","Thu","4.55086","","4.76143","","4.96257","4.93229","4.82943"
"15.03.2023","Wed","4.55971","","4.70857","","4.90714","4.83400","4.72843"
"14.03.2023","Tue","4.55357","","4.72771","","4.94100","4.96843","4.99229"
"13.03.2023","Mon","4.55600","","4.68443","","4.86629","5.05071","5.14257"
"10.03.2023","Fri","4.55714","","4.79857","","5.13814","5.42829","5.73814"
"09.03.2023","Thu","4.56114","","4.80600","","5.15371","5.49986","5.86329"
"08.03.2023","Wed","4.55814","","4.75971","","5.12471","5.47414","5.88071"
"07.03.2023","Tue","4.56229","","4.71900","","5.02571","5.34614","5.71671"
"06.03.2023","Mon","4.56286","","4.71129","","5.00800","5.32800","5.69057"
"03.03.2023","Fri","4.55957","","4.70914","","4.98400","5.31571","5.69443"
"02.03.2023","Thu","4.55929","","4.70143","","4.98571","5.31086","5.71400"
"01.03.2023","Wed","4.55714","","4.67300","","4.98114","5.28814","5.68614"
"28.02.2023","Tue","4.55329","","4.66943","","4.97100","5.26343","5.68157"
"27.02.2023","Mon","4.55643","","4.66200","","4.96243","5.27114","5.69143"
"24.02.2023","Fri","4.56171","","4.63486","","4.95343","5.23514","5.63871"
"23.02.2023","Thu","4.56457","","4.61700","","4.95786","5.27700","5.64186"
"22.02.2023","Wed","4.55686","","4.60429","","4.92814","5.27100","5.61943"
"21.02.2023","Tue","4.55986","","4.59200","","4.92214","5.25743","5.63943"
"20.02.2023","Mon","","","4.59271","","4.90943","5.24071","5.62014"
"17.02.2023","Fri","4.55686","","4.59129","","4.91529","5.24300","5.64286"
"16.02.2023","Thu","4.55814","","4.59786","","4.90086","5.18043","5.57314"
"15.02.2023","Wed","4.56186","","4.60143","","4.87657","5.18029","5.58443"
"14.02.2023","Tue","4.55943","","4.59000","","4.87157","5.15843","5.49914"
"13.02.2023","Mon","4.55886","","4.58786","","4.86357","5.15200","5.50500"
"10.02.2023","Fri","4.55929","","4.57800","","4.86943","5.12714","5.48457"
"09.02.2023","Thu","4.55857","","4.57257","","4.87257","5.11257","5.45571"
"08.02.2023","Wed","4.55514","","4.57500","","4.85929","5.15100","5.46829"
"07.02.2023","Tue","4.55329","","4.58071","","4.84500","5.13500","5.44000"
"06.02.2023","Mon","4.56457","","4.58829","","4.84314","5.13971","5.40443"
"03.02.2023","Fri","4.55271","","4.57186","","4.83414","5.05743","5.25114"
"02.02.2023","Thu","4.54657","","4.58000","","4.80614","5.05986","5.27986"
"01.02.2023","Wed","4.29686","","4.57500","","4.79629","5.08786","5.31529"
"31.01.2023","Tue","4.29843","","4.57429","","4.81357","5.10043","5.33757"
"30.01.2023","Mon","4.30529","","4.56557","","4.81357","5.09157","5.32600"
"27.01.2023","Fri","4.30471","","4.56971","","4.82529","5.10229","5.31614"
"26.01.2023","Thu","4.30457","","4.54729","","4.80243","5.10229","5.30086"
